Reservation ID	Check-out	Nights	Gross booking amount	Deductions	Payout	Lodging Tax Owner Remits	Extra Fee
HA-WB4320	20210407	4	1346.84	43.08	1303.76	76.84	0
HA-1HMTV0	20210409	4	1055.25	33.76	1021.49	50.25	0
HA-3CGXD6	20210411	4	1182.3	37.82	1144.48	56.3	0
HA-FHTQ5D	20210415	6	1527.75	48.88	1478.87	72.75	0
HA-FRQ7Y2	20210419	4	1065.75	34.09	1031.66	50.75	0
HA-6JQCXB	20210421	5	1396.5	44.68	1351.82	66.5	0
HA-FZBJCY	20210422	3	763.56	24.57	738.99	43.56	0
HA-4KC69Y	20210424	3	988.39	31.62	956.77	56.39	0
HA-FWCCZR	20210426	4	1065.75	34.09	1031.66	50.75	0
HA-281H9J	20210501	7	1696.8	54.59	1642.21	80.8	0
HA-240K0B	20210501	5	1262	40.61	1221.39	72	0